0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
2室1厅1厨1卫        ,高楼层(共18层)          ,69.71㎡          ,平层              ,暂无数据         ,板楼       ,南   ,2014,毛坯     ,钢混结构  , ,两梯四户           ,有           ,1.07104E+11,商品房          ,2021-05-01,普通住宅          ,暂无数据       ,非共有           ,218万,31201,2021.05.05 成交,崧泽华城和瑞西苑 2室1厅 69.71平米,219挂牌价格（万）,5成交周期（天）,1调价（次）,带看（次）,9关注（人）,810浏览（次）
2室2厅1厨2卫        ,中楼层(共13层)          ,119.19㎡          ,平层              ,暂无数据         ,板楼       ,南   ,1996,精装     ,钢混结构  , ,两梯五户           ,有           ,1.07103E+11,商品房          ,2020-12-01,普通住宅          ,暂无数据       ,非共有           ,945万,79286,2021.05.05 成交,马赛花园 2室2厅 119.19平米,950挂牌价格（万）,156成交周期（天）,1调价（次）,带看（次）,416关注（人）,49031浏览（次）
2室2厅1厨1卫        ,中楼层(共6层)          ,98.68㎡          ,平层              ,暂无数据         ,板楼       ,南 北   ,1998,简装     ,砖混结构  , ,一梯两户           ,无           ,1.07104E+11,商品房          ,2021-02-27,普通住宅          ,暂无数据       ,共有           ,246万,24930,2021.05.05 成交,东城花苑一村 2室2厅 98.68平米,252挂牌价格（万）,68成交周期（天）,2调价（次）,带看（次）,99关注（人）,17652浏览（次）
3室1厅1厨1卫        ,高楼层(共6层)          ,91.99㎡          ,暂无数据              ,暂无数据         ,板楼       ,南   ,1998,简装     ,砖混结构  , ,一梯两户           ,无           ,1.07104E+11,商品房          ,2021-03-28,普通住宅          ,暂无数据       ,非共有           ,268万,29080,2021.05.05 成交,南苑七村 3室1厅 91.99平米,270挂牌价格（万）,39成交周期（天）,3调价（次）,带看（次）,18关注（人）,3004浏览（次）
1室1厅1厨1卫        ,中楼层(共17层)          ,56.71㎡          ,平层              ,暂无数据         ,板楼       ,南   ,2014,精装     ,钢混结构  , ,两梯四户           ,有           ,1.07104E+11,商品房          ,2021-05-03,普通住宅          ,暂无数据       ,共有           ,221万,38935,2021.05.05 成交,崧泽华城佳福雅苑（六区） 1室1厅 56.71平米,230挂牌价格（万）,3成交周期（天）,0调价（次）,带看（次）,3关注（人）,699浏览（次）
1室1厅1厨1卫        ,高楼层(共6层)          ,37.75㎡          ,暂无数据              ,暂无数据         ,板楼       ,南   ,1980,简装     ,砖混结构  , ,一梯四户           ,无           ,1.07104E+11,商品房          ,2021-04-02,普通住宅          ,暂无数据       ,非共有           ,300万,79471,2021.05.05 成交,欣绿小区 1室1厅 37.75平米,300挂牌价格（万）,34成交周期（天）,1调价（次）,带看（次）,22关注（人）,3119浏览（次）
2室1厅1厨1卫        ,高楼层(共6层)          ,71.81㎡          ,平层              ,暂无数据         ,板楼       ,南   ,1997,精装     ,砖混结构  , ,一梯四户           ,无           ,1.07104E+11,商品房          ,2021-04-14,普通住宅          ,暂无数据       ,非共有           ,462万,64337,2021.05.05 成交,新梅花苑 2室1厅 71.81平米,468挂牌价格（万）,22成交周期（天）,1调价（次）,带看（次）,109关注（人）,18490浏览（次）
1室1厅1厨1卫        ,低楼层(共12层)          ,46.45㎡          ,平层              ,暂无数据         ,塔楼       ,南   ,2012,精装     ,钢混结构  , ,两梯十五户           ,有           ,1.07104E+11,商品房          ,2021-04-29,普通住宅          ,暂无数据       ,非共有           ,202万,43488,2021.05.05 成交,万顺水原墅(公寓) 1室1厅 46.45平米,209挂牌价格（万）,7成交周期（天）,0调价（次）,带看（次）,0关注（人）,375浏览（次）
1室0厅1厨1卫        ,中楼层(共6层)          ,29.65㎡          ,平层              ,29.65㎡         ,板楼       ,南   ,1987,简装     ,砖混结构  , ,一梯七户           ,无           ,1.07104E+11,商品房          ,2021-04-12,普通住宅          ,暂无数据       ,非共有           ,203万,68466,2021.05.05 成交,太浜巷小区 1室0厅 29.65平米,205挂牌价格（万）,24成交周期（天）,0调价（次）,带看（次）,26关注（人）,2949浏览（次）
3室2厅0厨1卫        ,低楼层(共9层)          ,89.89㎡          ,平层              ,暂无数据         ,板楼       ,南 北   ,2008,精装     ,钢混结构  , ,一梯两户           ,有           ,1.07104E+11,商品房          ,2021-04-12,普通住宅          ,暂无数据       ,共有           ,430万,47837,2021.05.05 成交,万科四季花城 3室2厅 89.89平米,439挂牌价格（万）,24成交周期（天）,1调价（次）,带看（次）,30关注（人）,5416浏览（次）
