Rooms,Floor,Area,HouseStructure,BuildingType,HouseOrientation,ConstructionTime,RenovationCondition,BuildingStructure,LadderRatio,Elevator,挂牌时间,TotalPrice,UnitPrice,TradeTime,DOM,Followers,HouseName1,Bedroom,Livingroom,Kitchen,Bathroom,HouseStructure_cat,BuildingType_cat,HouseOrientation_cat,RenovationCondition_cat,BuildingStructure_cat,Elevator_cat,Floor_cat
1室0厅1厨1卫        ,中,31,,板楼       ,南   ,1988-01-01,简装     ,砖混结构  ,一梯七户           ,无           ,2021-04-28,182,57742,2021-05-26,29,11,凤城三村东区,1,0,1,1,-1,3,18,2,2,0,0
2室1厅1厨1卫        ,中,80,平层              ,板楼       ,南   ,1995-01-01,简装     ,砖混结构  ,一梯四户           ,无           ,2021-04-20,417,51944,2021-05-26,37,3,通河七村,2,1,1,1,1,3,18,2,2,0,0
2室2厅1厨1卫        ,高,79,平层              ,板楼       ,南   ,2003-01-01,其他     ,钢混结构  ,一梯两户           ,无           ,2021-04-25,413,51632,2021-05-26,32,0,桃浦二村永汇新苑,2,2,1,1,1,3,18,0,3,0,3
2室1厅1厨1卫        ,高,70,,塔楼       ,南   ,1990-01-01,简装     ,钢混结构  ,两梯十户           ,有           ,2021-05-23,600,85361,2021-05-26,3,0,林绿家园,2,1,1,1,-1,0,18,2,3,1,3
1室1厅1厨1卫        ,高,42,平层              ,板楼       ,南   ,1988-01-01,精装     ,砖混结构  ,一梯四户           ,无           ,2021-04-09,152,35373,2021-05-26,48,90,凤庆小区,1,1,1,1,1,3,18,3,2,0,3
2室1厅0厨1卫        ,高,68,平层              ,板楼       ,南   ,2011-01-01,简装     ,钢混结构  ,两梯四户           ,有           ,2021-03-08,275,40223,2021-05-26,80,74,新凯城香樟苑,2,1,0,1,1,3,18,2,3,1,3
3室1厅1厨1卫        ,高,61,平层              ,板楼       ,南   ,1990-01-01,精装     ,砖混结构  ,一梯六户           ,无           ,2021-03-15,240,39159,2021-05-26,73,113,城东新村（二区）,3,1,1,1,1,3,18,3,2,0,3
2室2厅1厨1卫        ,高,80,平层              ,板楼       ,南 北   ,1994-01-01,简装     ,砖混结构  ,一梯两户           ,无           ,2021-03-10,228,28152,2021-05-26,77,54,听潮六村,2,2,1,1,1,3,23,2,2,0,3
2室1厅0厨1卫        ,中,62,平层              ,板楼       ,南 北   ,1993-01-01,简装     ,砖混结构  ,一梯三户           ,无           ,2021-05-13,400,63583,2021-05-26,14,6,闸二小区,2,1,0,1,1,3,23,2,2,0,0
3室2厅1厨2卫        ,高,121,平层              ,板楼       ,南   ,2002-01-01,其他     ,钢混结构  ,两梯四户           ,有           ,2021-04-19,1550,127562,2021-05-26,38,57,明日星城（一期）,3,2,1,2,1,3,18,0,3,1,3
1室1厅1厨1卫        ,中,36,,塔楼       ,南   ,2014-01-01,其他     ,钢混结构  ,两梯十三户           ,有           ,2021-02-18,94,25973,2021-05-26,98,4,世盟壹天地,1,1,1,1,-1,0,18,0,3,1,0
2室1厅1厨1卫        ,高,68,平层              ,板楼       ,南   ,1997-01-01,精装     ,钢混结构  ,一梯五户           ,无           ,2021-02-22,815,118305,2021-05-26,94,40,沧州大楼,2,1,1,1,1,3,18,3,3,0,3
1室1厅1厨1卫        ,高,49,平层              ,板楼       ,南   ,2005-01-01,精装     ,砖混结构  ,一梯两户           ,无           ,2021-05-18,269,54509,2021-05-26,9,21,紫薇新村,1,1,1,1,1,3,18,3,2,0,3
1室1厅1厨1卫        ,中,44,平层              ,板楼       ,南   ,2011-01-01,精装     ,钢混结构  ,一梯三户           ,有           ,2021-05-17,168,37728,2021-05-26,9,9,海派青城,1,1,1,1,1,3,18,3,3,1,0
2室1厅1厨1卫        ,高,54,平层              ,板楼       ,南   ,1981-01-01,精装     ,砖混结构  ,一梯四户           ,有           ,2021-05-08,556,101312,2021-05-26,18,111,法华镇路150弄,2,1,1,1,1,3,18,3,2,1,3
3室2厅1厨2卫        ,低,117,平层              ,板楼       ,南 北   ,,精装     ,钢混结构  ,一梯两户           ,,2021-02-19,539,45935,2021-05-26,96,137,虹桥1号,3,2,1,2,1,3,23,3,3,-1,1
1室1厅1厨1卫        ,中,43,平层              ,板楼       ,南   ,1992-01-01,简装     ,砖混结构  ,一梯三户           ,无           ,2021-05-17,273,62372,2021-05-26,10,17,德州七村,1,1,1,1,1,3,18,2,2,0,0
3室1厅1厨1卫        ,中,82,平层              ,板楼       ,南 北   ,,毛坯     ,钢混结构  ,两梯四户           ,有           ,2021-04-05,262,31598,2021-05-26,51,4,慈竹路70弄,3,1,1,1,1,3,23,1,3,1,0
车位        ,地,18,,板楼       ,西南   ,,其他     ,钢混结构  ,,,2021-05-25,25,13889,2021-05-26,1,0,明天华城,车, , , ,-1,3,35,0,3,-1,2
2室2厅1厨2卫        ,高,101,平层              ,板塔结合       ,南   ,2004-01-01,精装     ,钢混结构  ,两梯三户           ,有           ,2021-04-30,1240,121736,2021-05-26,26,37,达安花园,2,2,1,2,1,2,18,3,3,1,3
2室2厅1厨1卫        ,低,90,,板楼       ,南   ,,其他     ,钢混结构  ,两梯四户           ,有           ,2021-05-05,274,30327,2021-05-26,22,0,西上海御庭,2,2,1,1,-1,3,18,0,3,1,1
2室1厅1厨1卫        ,低,72,平层              ,板楼       ,南   ,2015-01-01,精装     ,钢混结构  ,两梯四户           ,有           ,2021-04-24,237,32639,2021-05-10,17,15,福莱锦苑,2,1,1,1,1,3,18,3,3,1,1
1室1厅1厨1卫        ,高,56,平层              ,板楼       ,南 东 西   ,2006-01-01,简装     ,钢混结构  ,一梯两户           ,无           ,2021-03-01,498,88392,2021-05-10,71,47,大华锦绣华城(九街区),1,1,1,1,1,3,21,2,3,0,3
